"";"V1"
"1601";6
"1602";0
"1603";0
"1604";19
"1605";0
"1606";17
"1607";19
"1608";18
"1609";0
"1610";2
"1611";12
"1612";14
"1613";10
"1614";17
"1615";12
"1616";4
"1617";14
"1618";10
"1619";11
"1620";0
"1621";0
"1622";0
"1623";14
"1624";10
"1625";9
"1626";14
"1627";4
"1628";19
"1629";12
"1630";1
"1631";19
"1632";0
"1633";0
"1634";11
"1635";0
"1636";14
"1637";0
"1638";2
"1639";0
"1640";11
"1641";15
"1642";19
"1643";0
"1644";4
"1645";1
"1646";0
"1647";12
"1648";9
"1649";12
"1650";0
"1651";1
"1652";11
"1653";0
"1654";8
"1655";18
"1656";0
"1657";19
"1658";17
"1659";8
"1660";17
"1661";10
"1662";16
"1663";8
"1664";0
"1665";0
"1666";0
"1667";8
"1668";12
"1669";16
"1670";8
"1671";0
"1672";18
"1673";12
"1674";1
"1675";15
"1676";12
"1677";18
"1678";16
"1679";16
"1680";19
"1681";16
"1682";14
"1683";11
"1684";8
"1685";1
"1686";18
"1687";0
"1688";0
"1689";16
"1690";5
"1691";0
"1692";0
"1693";7
"1694";14
"1695";8
"1696";13
"1697";16
"1698";0
"1699";12
"1700";8
"1701";2
"1702";11
"1703";8
"1704";15
"1705";7
"1706";0
"1707";9
"1708";14
"1709";4
"1710";0
"1711";14
"1712";19
"1713";18
"1714";11
"1715";0
"1716";18
"1717";12
"1718";14
"1719";16
"1720";0
"1721";12
"1722";5
"1723";7
"1724";8
"1725";15
"1726";13
"1727";0
"1728";14
"1729";10
"1730";11
"1731";17
"1732";0
"1733";14
"1734";14
"1735";16
"1736";16
"1737";0
"1738";11
"1739";18
"1740";14
"1741";10
"1742";15
"1743";0
"1744";4
"1745";9
"1746";12
"1747";14
"1748";0
"1749";16
"1750";0
"1751";3
"1752";8
"1753";15
"1754";18
"1755";6
"1756";11
"1757";14
"1758";2
"1759";12
"1760";9
"1761";0
"1762";15
"1763";8
"1764";11
"1765";0
"1766";14
"1767";5
"1768";6
"1769";16
"1770";2
"1771";18
"1772";0
"1773";0
"1774";15
"1775";1
"1776";18
"1777";14
"1778";0
"1779";0
"1780";8
"1781";1
"1782";7
"1783";18
"1784";8
"1785";0
"1786";15
"1787";1
"1788";4
"1789";10
"1790";9
"1791";19
"1792";15
"1793";17
"1794";6
"1795";12
"1796";3
"1797";18
"1798";8
"1799";12
"1800";16
"1801";0
"1802";17
"1803";3
"1804";2
"1805";0
"1806";5
"1807";1
"1808";0
"1809";15
"1810";16
"1811";10
"1812";12
"1813";7
"1814";14
"1815";14
"1816";18
"1817";12
"1818";8
"1819";12
"1820";10
"1821";0
"1822";16
"1823";18
"1824";9
"1825";7
"1826";2
"1827";6
"1828";14
"1829";14
"1830";0
"1831";19
"1832";8
"1833";19
"1834";8
"1835";17
"1836";19
"1837";0
"1838";0
"1839";0
"1840";12
"1841";16
"1842";0
"1843";0
"1844";0
"1845";10
"1846";0
"1847";8
"1848";11
"1849";16
"1850";7
"1851";8
"1852";0
"1853";10
"1854";18
"1855";0
"1856";14
"1857";14
"1858";14
"1859";3
"1860";0
"1861";14
"1862";2
"1863";2
"1864";16
"1865";16
"1866";0
"1867";14
"1868";18
"1869";15
"1870";13
"1871";12
"1872";0
"1873";1
"1874";15
"1875";0
"1876";14
"1877";18
"1878";12
"1879";16
"1880";6
"1881";6
"1882";19
"1883";0
"1884";14
"1885";16
"1886";6
"1887";0
"1888";19
"1889";0
"1890";12
"1891";8
"1892";8
"1893";11
"1894";0
"1895";0
"1896";8
"1897";15
"1898";16
"1899";12
"1900";16
"1901";18
"1902";0
"1903";0
"1904";18
"1905";18
"1906";9
"1907";16
"1908";16
"1909";12
"1910";12
"1911";1
"1912";0
"1913";8
"1914";12
"1915";0
"1916";0
"1917";0
"1918";2
"1919";18
"1920";0
"1921";0
"1922";8
"1923";15
