"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"283";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"284";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"285";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"286";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"287";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"288";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"289";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"290";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"291";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"292";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"293";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"294";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"295";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"296";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"297";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"298";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"299";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"300";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"301";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;39
"302";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"303";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"304";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
