"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"121";2;5;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
"122";2;5;7;9;10;12;14;17;18;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
"123";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"124";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"125";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;63;63;63;63;63;63;63;63;63
"126";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39
"127";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"128";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;56;56;56;56;56;56;56;56;56;56;56;56
"129";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;72;74;77;79
"130";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"131";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;72;74;77;79
"132";2;5;7;9;10;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
"133";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;56;56;56;56;56;56;56;56;56;56;56;56
"134";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;56;56;56;56;56;56;56;56;56;56;56;56
"135";2;5;7;9;10;12;14;17;18;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
"136";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;72;74;77;79
"137";2;5;7;9;10;12;14;17;18;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
"138";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;59;59;59;59;59;59;59;59;59;59;59
"139";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;72;74;76;76
"140";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;60;60;60;60;60;60;60;60;60;60
"141";2;5;7;9;10;12;14;17;18;21;22;25;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27
"142";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;67;67;67;67;67;67;67
"143";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;72;74;77;79
"144";2;5;7;9;10;12;14;17;18;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
"145";2;5;7;9;10;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
"146";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;72;74;77;79
"147";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;60;60;60;60;60;60;60;60;60;60
"148";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"149";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"150";2;5;7;9;10;12;14;17;18;21;22;25;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27
"151";2;5;7;9;10;12;14;17;18;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
"152";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;72;74;77;79
"153";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;72;74;77;79
"154";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;72;74;77;79
"155";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;56;56;56;56;56;56;56;56;56;56;56;56
"156";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"157";2;5;7;9;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"158";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;72;74;77;79
"159";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;72;74;77;79
"160";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;60;60;60;60;60;60;60;60;60;60
