"";"classe 1";"classe 2"
"blunt";65,412;-65,412
"archipelago";18,054;-18,054
"aqueduct";-0,539;0,539
"alien";0,168;-0,168
"aivazovsky";-0,756;0,756
"afterlife";-0,756;0,756
"35mm";-0,756;0,756
"whitlock";-0,648;0,648
"wave";-0,648;0,648
"vray";-0,648;0,648
"viktor";-0,323;0,323
"treasure";22,298;-22,298
"traditional";-0,648;0,648
"tictac";-0,648;0,648
"takeya";-0,648;0,648
"takayuki";-0,648;0,648
"sylvain";-0,648;0,648
"stream";-0,539;0,539
"strange";-0,539;0,539
"stavanger";-0,648;0,648
"siege";-0,648;0,648
"shade";-0,648;0,648
"settlement";-0,648;0,648
"secret";0,606;-0,606
"sculpt";-0,648;0,648
"sarrailh";-0,648;0,648
"rococo";-0,648;0,648
"rock";-0,648;0,648
"ratio";-0,431;0,431
"range";-0,648;0,648
"rainbow";-0,648;0,648
"pumpkin";-0,539;0,539
"pond";-0,648;0,648
"political";56,031;-56,031
"plain";1,914;-1,914
"picture";22,298;-22,298
"path";-0,648;0,648
"overgrow";-0,431;0,431
"nighttime";-0,539;0,539
"michael";-0,539;0,539
"metropolis";-0,648;0,648
"mardin";-0,648;0,648
"main";-0,431;0,431
"lovecraft";-0,648;0,648
"lantern";-0,648;0,648
"intricately";22,298;-22,298
"instagram";-0,648;0,648
"imagery";-0,648;0,648
"hue";-0,648;0,648
"houdini";-0,648;0,648
"hold";0,333;-0,333
"historical";0,333;-0,333
"heart";-0,648;0,648
"hand";37,255;-37,255
"grass";0,333;-0,333
"giger";-0,648;0,648
"geography";56,031;-56,031
"freeze";11,158;-11,158
"foggy";-0,648;0,648
"flare";-0,648;0,648
"fantastical";-0,648;0,648
"face";-0,648;0,648
"eifel";-0,648;0,648
"edge";-0,323;0,323
"dreamlike";-0,648;0,648
"deep";-0,648;0,648
"darek";-0,648;0,648
"crook";-0,648;0,648
"crash";-0,648;0,648
"courtyard";-0,648;0,648
"computer";-0,323;0,323
"colourful";-0,648;0,648
"collapse";-0,539;0,539
"cobble";-0,648;0,648
"channel";-0,323;0,323
"change";3,836;-3,836
"caravaggio";-0,648;0,648
"car";-0,648;0,648
"brushstrokes";-0,648;0,648
"brown";-0,648;0,648
"brand";56,031;-56,031
"beautifully";-0,539;0,539
"balkan";56,031;-56,031
"age";-0,648;0,648
"aesthetic";-0,648;0,648
"zawadzki";-0,539;0,539
"witcher";-0,539;0,539
"witch";-0,539;0,539
"watch";-0,539;0,539
"vine";-0,539;0,539
"vfx";-0,539;0,539
"verehin";-0,539;0,539
"university";-0,539;0,539
"underground";-0,431;0,431
"ting";-0,539;0,539
"szene";-0,539;0,539
"sunray";-0,539;0,539
"study";-0,539;0,539
"stroke";-0,539;0,539
"steel";-0,539;0,539
"state";-0,539;0,539
"south";46,662;-46,662
"solarpunk";-0,539;0,539
"sketch";-0,539;0,539
"sit";-0,539;0,539
"silver";-0,539;0,539
"shine";-0,539;0,539
"sewer";-0,539;0,539
"school";1,07;-1,07
"rubble";-0,539;0,539
"rpg";0,606;-0,606
"realist";-0,539;0,539
"rainy";-0,539;0,539
"projection";28,28;-28,28
"portra";-0,539;0,539
"piece";-0,539;0,539
"palm";-0,539;0,539
"painterly";-0,431;0,431
"pain";-0,539;0,539
"obsidian";-0,323;0,323
"north";28,28;-28,28
"nekro";-0,539;0,539
"national";0,606;-0,606
"miyazaki";-0,539;0,539
"maxim";-0,539;0,539
"marco";-0,539;0,539
"mapporn";46,662;-46,662
"manga";28,28;-28,28
"lviv";-0,539;0,539
"lose";-0,539;0,539
"konig";-0,539;0,539
"kodak";-0,539;0,539
"km";-0,539;0,539
"johnson";-0,539;0,539
"jar";-0,539;0,539
"invade";-0,539;0,539
"impossibly";-0,539;0,539
"impose";-0,539;0,539
"hybrid";-0,539;0,539
"height";-0,539;0,539
"hayao";-0,539;0,539
"haunt";-0,539;0,539
"greek";-0,539;0,539
"graphic";-0,431;0,431
"goya";-0,539;0,539
"galaxy";-0,431;0,431
"funny";-0,539;0,539
"fascinate";-0,539;0,539
"evil";-0,539;0,539
"establish";-0,539;0,539
"engrave";1,07;-1,07
"elaborate";14,477;-14,477
"dock";-0,539;0,539
"dnd";-0,539;0,539
"display";-0,539;0,539
"direct";-0,539;0,539
"diffuse";-0,539;0,539
"demon";-0,539;0,539
"delbonnel";-0,539;0,539
"deform";-0,539;0,539
"daytime";-0,539;0,539
"darius";-0,539;0,539
"corporate";-0,539;0,539
"continent";7,429;-7,429
"climate";5,252;-5,252
"classic";-0,539;0,539
"charles";0,606;-0,606
"character";-0,431;0,431
"capitol";-0,539;0,539
"cabin";-0,539;0,539
"bustle";-0,539;0,539
"bruno";-0,539;0,539
"british";-0,539;0,539
"billboard";-0,539;0,539
"beach";-0,539;0,539
"attack";-0,539;0,539
"arri";-0,539;0,539
"archway";-0,539;0,539
"andreas";-0,539;0,539
"alexa";-0,539;0,539
"advertisement";-0,431;0,431
"adventure";-0,431;0,431
"18th";-0,539;0,539
"17th";-0,539;0,539
"workshop";-0,431;0,431
"wonderful";-0,431;0,431
"william";-0,431;0,431
"watercolour";-0,431;0,431
"warhammer";-0,431;0,431
"tyler";-0,431;0,431
"terrace";-0,431;0,431
"tank";-0,431;0,431
"sweden";7,429;-7,429
"svg";7,429;-7,429
"structure";-0,431;0,431
"step";-0,431;0,431
"statistic";37,305;-37,305
"solidity";-0,431;0,431
"ski";-0,431;0,431
"site";-0,431;0,431
"singer";-0,431;0,431
"silhouette";-0,431;0,431
"scenic";-0,431;0,431
"roger";-0,431;0,431
