"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"streetview";-0,576;-1,07;-0,526;-0,391;-1,717;242,932;-0,49;-1,231;-0,405;-3,573
"stefan";-0,23;-0,426;-0,209;-0,156;23,512;-0,134;-0,195;-0,49;-0,161;-2,572
"speckle";175,776;-1,07;-0,526;-0,391;-1,717;-0,335;-0,49;-1,231;-0,405;-6,454
"space";-0,576;4,82;-0,526;-0,391;-0,169;-0,335;-0,49;-1,231;-0,405;1,852
"soviet";-0,46;-0,855;-0,42;25,462;14,84;-0,268;-0,391;-0,983;-0,324;-5,157
"solter";-0,576;-1,07;-0,526;-0,391;-1,717;-0,335;-0,49;-1,231;250,113;-6,454
"skyline";-0,576;-1,07;-0,526;-0,391;-1,717;-0,335;0,653;-1,231;-0,405;10,966
"sculpture";-0,23;37,735;-0,209;-0,156;-0,684;-0,134;-0,195;-0,49;-0,161;-2,572
"sci";-0,576;-1,07;-0,526;-0,391;-1,717;1,481;-0,49;-1,231;-0,405;10,966
"process";-0,518;-0,962;-0,473;-0,352;-1,544;-0,302;-0,441;0;-0,364;9,437
"poster";-0,576;-1,07;-0,526;162,609;-1,717;-0,335;-0,49;-1,231;-0,405;-1,538
"pokemon";-0,576;-1,07;-0,526;-0,391;46,003;-0,335;-0,49;-1,231;-0,405;-3,573
"pencil";-0,576;0,002;-0,526;-0,391;-1,717;-0,335;97,124;-1,231;-0,405;-1,538
"organ";-0,576;-1,07;-0,526;-0,391;46,003;-0,335;-0,49;-1,231;-0,405;-3,573
"music";-0,576;-1,07;-0,526;-0,391;46,003;1,481;-0,49;-1,231;-0,405;-6,454
"lot";-0,576;0,002;-0,526;-0,391;0,238;-0,335;-0,49;-0,008;-0,405;1,852
"lisbon";-0,576;-1,07;0,541;-0,391;-0,169;-0,335;-0,49;-0,008;-0,405;4,044
"jonathan";-0,576;-1,07;-0,526;-0,391;-1,717;-0,335;-0,49;-1,231;250,113;-6,454
"hour";-0,172;-0,319;-0,157;-0,117;-0,513;-0,1;-0,146;-0,368;31,875;-0,042
"heartstone";-0,172;-0,319;-0,157;-0,117;-0,513;-0,1;-0,146;-0,368;-0,121;4,687
"hardturm";-0,576;-1,07;-0,526;-0,391;-1,717;-0,335;-0,49;82,306;-0,405;-6,454
"guard";-0,23;-0,426;-0,209;-0,156;11,764;-0,134;-0,195;-0,49;-0,161;-0,334
"grossmünster";-0,576;-1,07;-0,526;-0,391;-1,717;-0,335;-0,49;82,306;-0,405;-6,454
"fi";-0,576;-1,07;-0,526;-0,391;-1,717;1,481;-0,49;-1,231;-0,405;10,966
"fae";-0,172;-0,319;-0,157;-0,117;-0,513;-0,1;-0,146;-0,368;-0,121;4,687
"duck";123,134;-0,962;-0,473;-0,352;-1,544;-0,302;-0,441;-1,107;-0,364;-2,973
"daylight";-0,576;-1,07;-0,526;-0,391;24,842;-0,335;-0,49;-0,008;-0,405;-1,538
"crystal";-0,576;-1,07;-0,526;-0,391;46,003;-0,335;-0,49;-1,231;-0,405;-3,573
"clean";-0,172;-0,319;-0,157;-0,117;0,85;-0,1;26,122;-0,368;-0,121;-1,928
"chalet";-0,576;-1,07;-0,526;-0,391;-1,717;-0,335;206,75;-1,231;-0,405;-6,454
"budapest";-0,518;-0,962;-0,473;-0,352;6,49;-0,302;-0,441;0;-0,364;0,11
"bloom";-0,403;-0,747;-0,367;-0,273;0;-0,234;-0,342;-0,86;53,665;-0,326
"bloodborne";-0,518;-0,962;-0,473;-0,352;-1,544;-0,302;-0,441;4,694;-0,364;2,896
"alpine";-0,576;-1,07;-0,526;-0,391;-1,717;-0,335;206,75;-1,231;-0,405;-6,454
"alan";-0,576;-1,07;-0,526;-0,391;59,009;-0,335;-0,49;-1,231;-0,405;-6,454
"zdzis";-0,518;-0,962;-0,473;-0,352;-1,544;-0,302;-0,441;-1,107;-0,364;14,117
"vast";-0,518;0,024;-0,473;-0,352;-1,544;-0,302;-0,441;-1,107;-0,364;9,437
"ukrainian";-0,46;-0,855;-0,42;-0,312;34,358;-0,268;-0,391;-0,983;-0,324;-2,385
"tooth";-0,518;-0,962;49,108;-0,352;-1,544;-0,302;-0,441;-1,107;-0,364;0,11
"throne";-0,46;-0,855;-0,42;-0,312;14,84;-0,268;-0,391;-0,983;-0,324;-0,008
"symbol";-0,518;-0,962;-0,473;-0,352;53,073;-0,302;-0,441;-1,107;-0,364;-5,805
"steve";-0,518;-0,962;-0,473;-0,352;40,165;-0,302;-0,441;-1,107;-0,364;-2,973
